"","hightemp01","hightemp02","normal01","normal02"
"AQUIFEX_01504",195.635356700485,174.958072391827,188.380705327041,168.446730996851
"AQUIFEX_00575",192.625581982016,222.673910316871,209.311894807823,189.377981594093
"AQUIFEX_01218",197.641873179464,222.673910316871,215.292234659475,195.358338907591
"AQUIFEX_01205",238.77546099854,266.413428414828,249.18082715217,229.247030350744
"AQUIFEX_00806",689.2384105294,715.737568875657,699.699762643294,679.767281300902
"AQUIFEX_01699",106.345373385905,126.248154510012,135.554369970781,111.633336518623
"AQUIFEX_00444",216.703779729768,236.591029711676,191.370875252867,231.240482788577
"AQUIFEX_01681",168.547384234264,169.987672607969,188.380705327041,201.338696221088
"AQUIFEX_00702",125.407279936208,136.188954077729,105.65267071252,110.636610299707
"AQUIFEX_00509",105.342115146415,110.342875201664,90.7018210833899,73.7577401998047
"AQUIFEX_01545",852.769503566216,864.849562391419,879.109958192856,845.223833641005
"AQUIFEX_01377",249.811301632927,269.395668285143,284.066142953474,261.142269356065
"AQUIFEX_00992",126.410538175698,141.159353861588,121.600243650259,152.499111494191
"AQUIFEX_00436",246.801526914458,236.591029711676,265.128400089909,227.253577912912
"AQUIFEX_00791",228.742878603644,228.638390057502,256.157890312431,248.184828510154
"AQUIFEX_00414",175.570191910692,180.922552132458,161.469175994606,149.508932837442
"AQUIFEX_00405",80.2606591591733,87.4790361959137,99.6723308608681,107.646431642958
"AQUIFEX_01676",156.508285360388,137.183034034501,163.462622611824,140.538396867195
"AQUIFEX_01099",134.436604091615,123.265914639697,142.531433131041,114.623515175372
"AQUIFEX_00523",68.2215602852973,87.4790361959137,104.655947403911,80.7348237322186
"AQUIFEX_00745",282.918823536086,256.472628847111,243.200487300518,237.220840102074
"AQUIFEX_00966",151.49199416294,114.319195028751,130.570753427737,133.561313334781
"AQUIFEX_00422",74.2411097222353,93.4435159365441,75.7509714542597,105.652979205126
"AQUIFEX_01199",282.918823536086,288.283187463806,269.115293324344,263.135721793898
"AQUIFEX_00420",246.801526914458,227.64431010073,213.298788042258,238.217566320991
"AQUIFEX_01122",463.505306644226,444.353740676971,460.48616857721,439.556262542079
"AQUIFEX_00783",288.938372973024,306.176626685698,287.0563128793,314.965485177544
"AQUIFEX_01598",172.560417192223,133.206714207414,153.495389525737,153.495837713107
"AQUIFEX_00665",135.439862331105,162.035032953795,141.534709822433,154.492563932023
"AQUIFEX_00189",228.742878603644,209.750870878838,224.262744436953,193.364886469758
"AQUIFEX_00039",454.475982488819,467.217579682721,519.292843785123,473.444953985233
"AQUIFEX_01187",367.192515653218,339.975345215937,339.88264823556,358.821438809861
"AQUIFEX_00201",158.514801839367,177.940312262143,157.482282760172,176.420540748181
"AQUIFEX_00263",132.430087612636,99.4079956771746,141.534709822433,122.597324926702
"AQUIFEX_00760",155.505027120898,175.952152348599,176.420025623736,157.482742588772
"AQUIFEX_00331",172.560417192223,152.094233386077,178.413472240954,159.476195026605
"AQUIFEX_00870",267.869949943741,247.525909236165,266.125123398518,247.188102291237
"AQUIFEX_00570",218.710296208747,237.585109668447,200.341385030345,219.279768161581
"AQUIFEX_00724",318.032861918224,322.081905994046,336.892478309734,291.044055923554
"AQUIFEX_00730",138.449637049574,133.206714207414,119.606797033042,113.626788956456
"AQUIFEX_01645",115.374697541312,134.200794164186,140.537986513824,117.613693832121
"AQUIFEX_00292",319.036120157714,318.105586166959,336.892478309734,338.886914431535
"AQUIFEX_00193",286.931856494044,296.23582711798,312.971118903126,314.965485177544
"AQUIFEX_01572",81.2639173986629,62.62703727662,67.7771849853903,48.8395847268977
"AQUIFEX_00459",258.840625788334,242.555509452306,283.069419644865,261.142269356065
"AQUIFEX_00017",251.817818111906,235.596949754904,254.164443695214,231.240482788577
"AQUIFEX_01578",162.527834797326,151.100153429305,139.541263205215,132.564587115865
"AQUIFEX_01491",86.2802085961113,71.5737568875657,91.6985443919986,67.777382886307
"AQUIFEX_01257",227.739620364154,236.591029711676,276.092356484605,246.191376072321
"AQUIFEX_00764",226.736362124664,190.863351700175,209.311894807823,203.332148658921
"AQUIFEX_00650",230.749395082623,228.638390057502,212.302064733649,203.332148658921
"AQUIFEX_00871",159.518060078857,177.940312262143,161.469175994606,140.538396867195
"AQUIFEX_01693",195.635356700485,211.739030792382,193.364321870084,171.4369096536
"AQUIFEX_00581",162.527834797326,157.064633169936,175.423302315128,195.358338907591
"AQUIFEX_01353",160.521318318347,149.111993515762,167.449515846258,137.548218210447
"AQUIFEX_01560",262.853658746292,244.54366936585,231.239807597214,259.148816918233
"AQUIFEX_01150",389.26419692199,407.572782276416,390.715536974603,426.598821696168
"AQUIFEX_00564",256.834109309354,302.200306858611,269.115293324344,275.096436420893
"AQUIFEX_01738",105.342115146415,89.4671961094571,109.639563946955,123.594051145619
"AQUIFEX_01214",200.651647897933,219.691670446556,182.400365475389,192.368160250842
"AQUIFEX_00106",213.694005011299,269.395668285143,257.15461362104,251.175007166902
"AQUIFEX_00409",140.456153528553,122.271834682925,129.574030119128,103.659526767293
"AQUIFEX_01715",112.364922822843,87.4790361959137,93.691991009216,105.652979205126
"AQUIFEX_01679",117.381214020291,131.21855429387,135.554369970781,106.649705424042
"AQUIFEX_01573",121.39424697825,125.25407455324,148.511772982693,139.541670648279
"AQUIFEX_00134",94.3062745120286,63.6211172333918,81.7313113059118,67.777382886307
